id	등급	item_id	이름	횟수	기대확률	결과확률	파일명
65	common	30008	뷔알프	3039	0.00105839	0.00118536	Gacha_ProbabilityList(2).txt
66	common	30009	베트라르	2621	0.00105839	0.00114736	Gacha_ProbabilityList(2).txt
67	common	30011	페르다스쿠기	3126	0.00105839	0.00119327	Gacha_ProbabilityList(2).txt
68	common	30012	브룬게이트	2806	0.00105839	0.00116418	Gacha_ProbabilityList(2).txt
69	common	40001	톰테	428	0.0002124	0.00022073	Gacha_ProbabilityList(2).txt
70	common	40003	베드르폴니르	375	0.0002124	0.00021591	Gacha_ProbabilityList(2).txt
71	common	40004	탕그리스니르	399	0.0002124	0.00021809	Gacha_ProbabilityList(2).txt
72	common	40006	오테르	474	0.0002124	0.00022491	Gacha_ProbabilityList(2).txt
73	common	40007	글래시르	471	0.0002124	0.00022464	Gacha_ProbabilityList(2).txt
74	common	40008	모쿠르칼피	480	0.0002124	0.00022545	Gacha_ProbabilityList(2).txt
75	common	40009	라타토스크	462	0.0002124	0.00022382	Gacha_ProbabilityList(2).txt
76	common	50001	링바크르	43	1.44e-05	1.3e-05	Gacha_ProbabilityList(2).txt
77	common	50002	헤이드룬	65	1.44e-05	1.5e-05	Gacha_ProbabilityList(2).txt
78	common	50004	훌드라	38	1.44e-05	1.255e-05	Gacha_ProbabilityList(2).txt
79	common	50005	에이크쉬르니르	40	1.44e-05	1.273e-05	Gacha_ProbabilityList(2).txt
80	common	50006	니드호그	54	1.44e-05	1.4e-05	Gacha_ProbabilityList(2).txt
81	common	50007	흐레스벨그	69	1.44e-05	1.536e-05	Gacha_ProbabilityList(2).txt
82	common	50008	수르트	55	1.44e-05	1.409e-05	Gacha_ProbabilityList(2).txt
